geneid	a1	a2	a3	b1	b2	b3
"Zm00001d000162"	5.63	0.00	0.00	4.00	5.41	4.00
"Zm00001d000164"	1619.00	1814.00	2117.00	325.00	370.00	280.00
"Zm00001d000165"	8.00	8.00	9.00	16.00	17.00	13.00
"Zm00001d000166"	123.00	137.00	132.00	163.00	176.00	128.00
"Zm00001d000168"	12.00	23.00	24.00	207.00	212.00	153.00
"Zm00001d000169"	88.00	144.00	143.00	98.00	112.00	68.00
"Zm00001d000170"	28.00	38.00	15.00	47.00	44.00	33.00
"Zm00001d000174"	4.00	0.00	0.00	0.00	0.00	0.00
"Zm00001d000175"	367.00	474.00	466.00	164.00	178.00	135.00
"Zm00001d000176"	412.00	434.00	376.00	52.00	50.00	23.00
"Zm00001d000178"	297.99	273.95	333.75	480.97	509.32	349.40
"Zm00001d000179"	6.00	7.00	0.00	16.00	17.00	22.00
"Zm00001d000180"	5.00	0.00	0.00	0.00	1.00	3.00
"Zm00001d000183"	1274.00	1778.00	1193.00	2193.00	1811.00	1644.00
"Zm00001d000184"	592.00	577.00	996.00	541.00	594.00	518.00
"Zm00001d000189"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d000191"	187.00	208.00	260.00	327.00	265.00	228.00
"Zm00001d000193"	0.00	0.00	0.00	0.00	1.00	0.00
"Zm00001d000195"	48.00	43.00	43.00	174.00	290.00	148.00
"Zm00001d000196"	142.00	193.00	72.00	673.00	404.00	407.00
"Zm00001d000197"	92.00	61.00	101.00	48.00	44.00	26.00
"Zm00001d000199"	160.00	183.00	130.00	225.00	198.00	165.00
"Zm00001d000202"	4.00	3.00	0.00	9.00	10.00	7.00
"Zm00001d000203"	4.00	3.00	15.00	0.00	0.00	1.00
"Zm00001d000204"	88.00	64.00	90.00	572.00	393.00	289.00
"Zm00001d000205"	89.94	108.75	119.71	187.71	255.92	202.79
"Zm00001d000211"	0.00	0.00	2.00	0.00	0.00	0.00
"Zm00001d000213"	23.00	24.00	6.00	182.00	136.00	118.00
"Zm00001d000214"	21.00	19.00	24.00	214.00	186.00	215.00
"Zm00001d000216"	3.00	16.00	22.00	0.00	2.00	2.00
"Zm00001d000217"	0.00	0.00	3.00	0.00	0.00	0.00
"Zm00001d000220"	5.00	0.00	0.00	88.00	51.00	71.00
"Zm00001d000221"	0.00	0.00	0.00	1.00	0.00	2.00
"Zm00001d000222"	21.00	22.00	26.00	12.00	10.00	14.00
"Zm00001d000223"	54.00	77.00	71.00	109.00	87.00	85.00
"Zm00001d000224"	1681.00	1965.00	3400.00	324.00	411.00	327.00
"Zm00001d000226"	78.00	93.00	82.00	74.00	78.00	85.00
"Zm00001d000227"	893.00	1073.00	596.00	1245.00	1181.00	959.00
"Zm00001d000228"	0.00	7.99	14.00	1.42	3.00	0.50
"Zm00001d000229"	39.00	44.00	22.00	20.00	20.00	27.00
"Zm00001d000230"	291.00	275.00	179.00	217.00	238.00	139.00
"Zm00001d000233"	0.00	3.00	0.00	0.00	1.00	0.00
"Zm00001d000236"	0.00	0.00	1.00	0.00	0.00	0.00
"Zm00001d000237"	1381.10	2141.13	1195.56	342.97	551.95	367.37
"Zm00001d000238"	14.00	37.00	26.00	14.00	11.00	17.00
"Zm00001d000240"	125.00	157.00	148.00	110.00	119.00	102.00
"Zm00001d000241"	18.00	25.00	4.00	225.00	179.00	137.00
"Zm00001d000242"	0.00	0.00	0.00	0.00	1.00	2.00
"Zm00001d000243"	108.42	40.91	54.87	15.14	21.18	49.78
"Zm00001d000247"	147.00	199.00	114.00	172.00	216.00	196.00
"Zm00001d000255"	139.45	126.21	484.16	164.09	241.23	193.97
"Zm00001d000257"	195.00	244.00	197.00	457.00	520.00	384.00
"Zm00001d000260"	294.00	85.00	227.00	89.00	88.00	100.00
"Zm00001d000270"	1083.12	776.36	1985.27	329.77	463.31	414.68
"Zm00001d000272"	88.79	18.28	58.16	24.43	19.18	15.48
"Zm00001d000279"	5271.45	5799.35	14061.03	2116.33	3216.11	2809.37
"Zm00001d000282"	0.00	3.30	6.41	0.00	14.92	0.00
"Zm00001d000288"	69.00	80.00	145.00	74.00	62.00	47.00
"Zm00001d000291"	0.00	0.00	0.00	82.00	63.00	67.00
"Zm00001d000293"	11.48	21.64	14.60	10.53	15.68	3.19
"Zm00001d000294"	5.00	10.00	8.00	381.00	185.00	154.00
"Zm00001d000295"	675.00	800.00	695.00	644.00	695.00	541.00
